Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
103,1/29/2024,مسواك,miswak,dubour,"شركة هندية تقوم بصناعة منتجات من المواد الطبيعية
والهند تقوم بدعم القضية الفلسطينية
https://www.shorouknews.com/news/view.aspx?cdate=23112023&id=56b66318-80e3-46dd-b80c-6448cf9cb163
صفحة الشركة على ويكيبديا
https://en.wikipedia.org/wiki/Dabur
",boycott,,,,
64,1/13/2024,مسواك,Miswak,Dabur,اسنان,alternative,,,,
408,4/28/2024,مسواك,miswak,دابر إنترناشيونال,مش مقاطعة,alternative,,,,
235,2/1/2024,مسواك,miswak,Dabur,معجون اسنان,alternative,,,,
407,4/28/2024,مسواك,miswak,دابر إنترناشيونال,أعتقد ان مسواك (معجون أسنان) غير مقاطعة بنسبة 75%,unsure,,,,
402,4/26/2024,مسواك,Miswak ,دابر المسواك,يعتبر هذ المعجون بديل لكلوز اب ,alternative,,,,
29,1/6/2024,منفذ,Monafiz,Mobtakr LLC,منفذ منصة عربية للعمل وبيع الخدمات المصغرة.,alternative,,,,
140,1/29/2024,منفذ,Monafiz,Monafiz,منصة عمل حر عربية,alternative,,,,
316,3/12/2024,مولتو,Molto,ايديتا,غير متأكد لكن المقاطعه معها منتجات ايديتا مثل توينكز وغيره فهل صحيح ,boycott,,,,
262,2/29/2024,مولتو,Molto ,إديتا ,"التقرير الرسمي المالي لشركة ايديتا ٢٠٢٢ بيأكد ان النسبة الاكبر من اسهم شركة ايديتا بترجع لشركة كوانتم الهولندية بنسبة %٤٢% من اجمالي اسهم الشركة، مع العلم ان شركة كوانتم ليها فروع رئيسية في لندن ونيويورك

وخليني ازيدك من الشعر بيت ان التقرير موضح ان حوالي ۱۲٪ من اسهم شركة ايديتا من نصيب بنك امريكي و %٥.٥% من أسهم الشركة من نصيب شركة استثمارات في لندن

بالتالي الشركات دي بتدفع ضرايب لامريكا والضرايب دي بتتحول لدعم بصور مختلفة للي ما يتسموا زي ما كلنا شفنا",boycott,,,,
