Nabil,,Aref,,,,,,,
Date,name,english,manufacturer,details,type,تم مراجعته؟,داعم\بديل؟,السبب او معلومات اضافية,النوع
1/19/2024,فارق فريتس,Farm frites,Farm frites,بالبحث والتحقق اتضح أن فارم فريتس من المنتجات التي لها رواجًا واسعًا في السوق المصري، لكنها تتعاون مع شركة أمريكانا، لذا تندرج تحت قائمة المقاطعة.,boycott,,,,
1/24/2024,تييم,Pepsi,بيبسي,تابع لشركة بيبسي ,boycott,,,,
1/24/2024,بيتزا بوللز,pizza bulls,BOGA GIDA,بديل بيتزا بتركية تصنيع تركي محلي ٪100 ,alternative,,,,
1/25/2024,باتوس,patos,"Doğuş Çay ve Gıda Ürünleri Üretim, Pazarlama, İthalat ve İhracat A.Ş.,",منتج شيبس تركي ٪١٠٠ بديل للدوريتوس,alternative,,,,
1/27/2024,فيوز تي,fusetea,coca cola,https://www.coca-cola.com/tr/tr/brands/fusetea,boycott,,,,
1/27/2024,سباررو,sbarro,sbarro,https://www.cozum10.com/sbarro-boykot-mu/,boycott,,,,
1/28/2024,سباركل,Sparkle,ElTwaheed for Advanced Industries,Shampoo alternative ,alternative,,,,
1/28/2024,شاي احمد,Ahmed tea ,Null,شاي بالنكهات ,unsure,,,,
1/29/2024,اتوم سبورتسوير,Atum sportswear ,Atum Egypt ,"شركة مصرية منتجة للملابس الرياضية و الأدوات الرياضية فتحت في ٢٠١٩
صاحب الشركة ايهاب عبد المنعم",alternative,,,,
1/29/2024,ايه ام دي,amd,AMD,تكنولوجيا,boycott,,,,
1/29/2024,كرستال,Crystal,الشركة اليمنية لصناعة السمن والصابون,هذا بديل لشركات الصابون الملابس التي تدعم الكيان الصهيوني القذر,alternative,,,,
1/29/2024,فاتيكا,Vatika,Dabur International Ltd.,شركة متخصصة في تصنيع الشامبو والبلسم للعناية بالشعر,unsure,,,,
1/29/2024,آبل,Apple,Apple,Apple MAP لا تعترف بخريطة فلسطين حيث أنها تعتبرها دولة إسرائيل إجمالا.,boycott,,,,
1/29/2024,كواليتي هوستنج,Quality hosting,Quality," بديل عربي عن سيرفر امازون 
الرابط :
https://www.qualiteyserver.com/",alternative,,,,
1/29/2024,أيه إم دي,AMD,AMD,https://www.mayniaga.com/is-amd-supportive-of-israel-explained/,boycott,,,,
1/29/2024,سعيد,Said,Saida,منتج تونسي,alternative,,,,
1/29/2024,بوغا,Boga,La Société de fabrication des boissons de Tunisie,"هذه شلركة فرنسية صهيونية تصنع عدة منتجات غذائية و تبيعها تحت مسمى منتج محلي في السوق التونسية و اجزائرية و دول افريقية اخرى
",boycott,,,,
1/29/2024,شيبسي ليون,Lion,Americana,Americana,boycott,,,,
1/29/2024,السلطان كامل,El Sultan Kamel,السلطان كامل,https://www.facebook.com/sultankamel.coffee/about,alternative,,,,
1/29/2024,بليس,Bless,Bless,بليس شركة مصرية اتعملت في ٢٠١٧ وبتعمل منتجات للشعر زي شامبو، بلسم ،زيوت ، وحاجاتها نضيفة استعملتها بنفسي ,alternative,,,,
1/29/2024,دانون دانجو,Dango,شركة دانجو,زبادي دانجو,unsure,,,,
1/29/2024,مارابو,Marabou,Marabou,نوع شكلاتا صناعة شركة سويدية اوروبية,unsure,,,,
1/29/2024,مارابو,Marabou,Marabou,نوع شوكولاته اوروبي ،سويدي,unsure,,,,
1/29/2024,بيك رولز ,bake rolls,Chipita,"Greek food company
greek is ally for isral",boycott,,,,
1/29/2024,مسواك,miswak,dubour,"شركة هندية تقوم بصناعة منتجات من المواد الطبيعية
والهند تقوم بدعم القضية الفلسطينية
https://www.shorouknews.com/news/view.aspx?cdate=23112023&id=56b66318-80e3-46dd-b80c-6448cf9cb163
صفحة الشركة على ويكيبديا
https://en.wikipedia.org/wiki/Dabur
",boycott,,,,
1/29/2024,مايكروسوفت,Microsoft,Microsoft,https://twitter.com/satyanadella/status/1711979964709605518,boycott,,,,
1/29/2024,سيرما,ٍٍٍSırma,Sırma,"هذي الشركة اشهر شركة مياه صحية في تركيا داعمة لاسرائيل بشطل كبير و مقاطعة من اغلب الشعب التركي.
شكراً",boycott,,,,
1/29/2024,ويندوز,Windows,Microsoft,https://twitter.com/satyanadella/status/1711979964709605518,boycott,,,,
1/29/2024,أوفيس,Office,Microsoft,https://twitter.com/satyanadella/status/1711979964709605518,boycott,,,,
1/29/2024,ڤولت,Volt,AJE,مشروب طاقة,alternative,,,,
1/29/2024,أبل,Apple,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,ماك,Mac,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,ايفون,iPhone,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,ايباد,iPad,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,اي او اس,iOS,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,اي او اس,iOS,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,سيرفس,Surface,Microsoft,https://twitter.com/satyanadella/status/1711979964709605518,boycott,,,,
1/29/2024,ساعة ابل,Apple Watch,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,ابل ووتش,Apple Watch,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,سماعات ابل,Airpods,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,ايباد او اس,iPadOS,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,ماك بوك - ماكبوك,MacBook,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,ماك او اس,MacOS,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,نظارة ابل للواقع المعزز - ابل فيجن,Apple Vesion,Apple,https://shbabbek.com/show/228407,boycott,,,,
1/29/2024,عبد المعبود ,abd el maboud,بن اليمني   ,نوع قهوه زي ابو عوف وكده,unsure,,,,
1/29/2024,صصص,صصصص,صصصص,صصصصص,boycott,,,,
1/29/2024,سس,سسس,سسس,سسسسسسس,unsure,,,,
1/29/2024,سس,سسس,سسس,سسسسسسس,unsure,,,,
1/29/2024,سس,سسس,سسس,سسسسسسس,unsure,,,,
1/29/2024,اوكسي,oxi,لا اعلم,مسحوق غسيل,unsure,,,,
1/29/2024,إنتيل,Intel,Intel,"https://www.alaraby.co.uk/economy/شركات-ضخمة-تدعم-إسرائيل-مالياً-تعرّف-إلى-أشهرها
يفضل استخدام vpn علشان الموقع مش شغال في مصر تقريبا او دا عندي بس",boycott,,,,
1/29/2024,اي ام دي,AMD,AMD,هي شركه بديلة لانتيل في المعالجات وبديله لنفيديا في كروت الشاشة,alternative,,,,
1/29/2024,الدرة,Durra,شركة الدرة العالمية للصناعات الغذائية,"موقع الشركة : 
https://aldurra.com/#about

وهذا منشور دعمهم لفلسطين :
https://www.facebook.com/DurraEgypt/posts/pfbid02ZMCTvHUr5phtycDUJwvKhYH6Coj9Va6iqEHHQMxi43n4MuQwaGVPXkr9dCZr2HbDl
",alternative,,,,
1/29/2024,شوكيلا,Chokella,Marbella,شوكولا ,unsure,,,,
1/29/2024,test,test,test,testt,boycott,,,,
1/29/2024,بييرتيوب,Peertube,Peertube,بديل قوي لليوتيوب,alternative,,,,
1/29/2024,عربي,english,testcompany,i dont know,boycott,,,,
1/29/2024,نيوبايب,Newpip,Newpip,شاهد مقاطع اليوتيوب بدون اعلانات او تتبع من جوجل وكدا مش هنخليهم يستفادوا,alternative,,,,
1/29/2024,ليبرتيوب,Libretube,Libretube,شاهد مقاطع اليوتيوب بدون اعلانات او تتبع من جوجل وكدا مش هنخليهم يستفادوا,alternative,,,,
1/29/2024,يوتيوب ريفانزيد,Youtube revanced,Revanced,استعمال microG بدل جوجل ودا بيقلل الاستفاده ليهم وهو يوتيوب بدون اعلانات وبمميزات اكثر,boycott,,,,
1/29/2024,شركة 1,company 1,company 2,idk really why but yea,boycott,,,,
1/29/2024,منفذ,Monafiz,Monafiz,منصة عمل حر عربية,alternative,,,,
1/29/2024,تاكسيدو,Tuxedo,Taxedo,شركة كمبيوترات بديله لديل واتش بي,alternative,,,,
1/29/2024,سليمبوك,Slimbook,Slimbook,شركة كمبيوترات بديلة لديل واتش بي,boycott,,,,
1/29/2024,لينكس,Linux,Linux fundation,نظام تشغيل مفتوح المصدر بديل للويندوز وللماك,alternative,,,,
1/29/2024,تويست,Twist,Management gate,مشروب طاقه بديل ل ريدبول ,alternative,,,,
1/29/2024,أوه,O Eau,شركة النور للصناعة,مياه معدنية,alternative,,,,
1/29/2024,فولت,Volt,Aje group,مشروب طاقه بديل ل ريدبول / مونستر,alternative,,,,
1/30/2024,ابو الولد,Abo Al Walad,شركة فرنسية,شركة فرنسية وبالتالي تكون مقاطعة,unsure,,,,
1/30/2024,يورياج,Uriage,Puig,". It is a spanish company
Uriage has skin care products
https://en.wikipedia.org/wiki/Puig_(company)

However they don't have stores in israel
https://www.uriage.com/AA/en/points-of-sale?coordinates=48.8766796%2C2.3189725&query=Europe%2C+Paris%2C+France",unsure,,,,
1/30/2024,QWE,QWE,QWEQWE,QWEQWE,boycott,,,,
1/30/2024,العربية هنااااا,ENGLISH HEREEE,QWEQWE,I DONT REALLY KNOW,boycott,,,,
1/30/2024,شوكلاته توديه,today chocolate ,today ,a jordanian company ,alternative,,,,
1/30/2024,فياجرا,viagra,Pfizer,"دواء مثبط للإنزيم ""PDE""، الهدف منه علاج المشاكل الجنسية الوظيفية مثل الضعف الجنسي وضعف الانتصاب، فعند حدوث إثارة جنسية يساعد هذا الدواء على تدفق الدم إلي القضيب فيحفز على الإنتصاب و استمراره.",unsure,,,,
1/30/2024,دومتي,Domty,شركة الصناعات الغذائية العربية (دومتي),"دومتي شركة مصرية الأصل تشتهر بمنتجاتها العديد في مصر وأشهرها ""جبنة فيتا""",alternative,,,,
1/30/2024,كانديا,condia,candia,حليب يباع في الجزائر,unsure,,,,
1/30/2024,تييم,Teem,Pepsi cola,"مكتوب علي العبوه 
ومعروف علي النت",boycott,,,,
1/30/2024,بيسكو مصر,Bisco misr,معرفش ,معرفش,boycott,,,,
1/30/2024,لافازا,Lavazza,Lavazza,قهوة كبسولات,unsure,,,,
1/30/2024,ابل,ابل,ابل,قام تيم كوك الرئيس التنفذي لشركة ابل بالتبرع لاهل القتلى من الجنود الاسرائيليون ,boycott,,,,
1/30/2024,هوهوز,,ايديتا,هوهوز منتج من ايديتا المصرية مثل مولتو وبيك رولز.. كيف يكون احد منتجات الشركة داعم والمنتج الاخر بديل,boycott,,,,
1/30/2024,شاي أحمد تي ,Ahmad Tea,أحمد تي ,يعتبر شاي أحمد تي من أبرز أنواع الشاي المتواجد فى السوق المصري، ولكنه تابع لشركة أوروبية، لذلك فينضم لقائمة المقاطعة، ويعتبر ضمن المنتجات الداعمة للكيان الصهيوني.,boycott,,,,
1/30/2024,بسكو مصر ,Bisco Misr ,Kellogg's,أعلنت شركة كلوجز الأمريكية المدرجة في بورصة نيويورك حصولها على 85.93% أي ما يعادل 9.8 مليون سهم من أسهم شركة بسكو مصر.,boycott,,,,
1/30/2024,جبن دومتي,Domty,شركة الصناعات الغذائية العربية,برجاء التأكد هل تتبع المقاطعة ام لا,unsure,,,,
1/30/2024,قولون,gullon,gullon,هل هو مقاطعة ,unsure,,,,
1/30/2024,ايفون,Iphone ,Apple ,Apple ,boycott,,,,
1/30/2024,بوكي (بوكي تيوب),Poke (PokeTube),https://ashley0143.xyz (Ashley),فرنت اند (واجهة) لموقع اليوتيوب مفتوح المصدر ولا يحتوي على أي تعقب ولا اعلانات وبه روابط تبرع لفلسطين 🇵🇸 ,boycott,,,,
1/30/2024,بوكي (بوكي تيوب),Poke (PokeTube),Ashley,واجهة لموقع اليوتيوب خالية من الإعلانات والتعقب وبها روابط دعم لفلسطين 🇵🇸,alternative,,,,
1/30/2024,البركة,Elbraka,Elbraka,فراخ مقلية و ستربس بالاسكندرية,alternative,,,,
1/30/2024,بيبسي ,pepsi,شركه pepsi ,لانها في قائمت المقاطعه وتبع الصهاينة ,boycott,,,,
1/30/2024,مرسول,marssol,marssol,بديل موقع طلبات لتوصيل الطعام,alternative,,,,
1/30/2024,سيكند كب,Second Cup,Foodtastic Inc,مقهي و كعك,unsure,,,,
1/30/2024,ريتش بيك,Rich Bake,ريتش بيك,"شركة المخابز الحديثة ""ريتش بيك"" هي شركة مساهمة مصرية تأسست في عام ١٩٩٧ كأول شركة مخابز أصلية في مصر تقدم منتجات المخبوزات المعبأة للأسواق المصرية. تأسست ريتش بيك على يد أصحابها أ/ خالد الصقر – م/ مدحت الهلالي – م/ عمرو الهلالي
وكانت تقدم مساعدات للفلسطينيين",alternative,,,,
1/30/2024,بيودرما,bioderma,bioderma,شركة فرنسية,unsure,,,,
1/30/2024,ماكسي,maxi,وابكو,مشروب غازي ,unsure,,,,
1/30/2024,ايه ام دي راديون,AMD radeon,AMD,شركة  AMD تنتج بعض أجزاء أجهزة الكومبيوتر منها المعالج و كارت الشاشة و ال mother board,unsure,,,,
1/30/2024,دومتي,Domty,Domty,شركة دومتي هل هي داعمة ام لا,unsure,,,,
1/30/2024,اكتف احذية رياضية,Activ,لا اعلم,احذية وملابس رياضية,unsure,,,,
