Nabil,,Aref,,,,,,,
Date,name,english,manufacturer,details,type,تم مراجعته؟,داعم\بديل؟,السبب او معلومات اضافية,النوع
1/30/2024,اوكسي,Oxi,أرما للصابون والمنظفات,غير متأكد,boycott,,,,
1/30/2024,Hammett York,,Hammett York,Hammett York,boycott,,,,
1/30/2024,تيم هورتونز,Tim Hortons, Restaurant Brands International Inc  (RBI),"قرأت بضعت مقالات تثبت ذلك, حيث ان تيم هورتونز قدمت لجيش الدفاع الإسرائيلي القهوة والطعام كمساعدة لهم وبإقرار من حساب إسرائيل في كندا نفسه 
هنا المقال الذي وضح كل شي مع الأدلة ولكنه بالانجليزي بالطبع :
https://www.mayniaga.com/is-tim-hortons-supportive-of-israel-explained/",boycott,,,,
1/30/2024,فريسكا,Fresca ,ايديتا,ايديتا بها اسهم اجنبية,boycott,,,,
1/30/2024,احمد تي,ahmed tea,ahmed tea,منت من دولة داعمة,boycott,,,,
1/30/2024,بن كيفك,Kefek,لا اعرف,"بن من إنتاج شركه مصريه
المنتج جديد لكنه بجوده كويسه جدا",alternative,,,,
1/30/2024,سيناي ,cynay.com,cynay.com,محرك بحث مصري داعم للقضية الفلسطينية,alternative,,,,
1/30/2024,سيناي ,cynay.com,cynay.com,محرك بحث مصري داعم للقضية الفلسطينية و بديل ل google.com,alternative,,,,
1/30/2024,شبسيكو,Chibseco,مصرية,شيبسي,alternative,,,,
1/31/2024,بربيكان,Barbican,شركة العوجان كوكا كولا للمشروبات,كوكا كولا تستحوذ على 50% من شركة العوجان مقابل 980 مليون دولار منذ 2011,boycott,,,,
1/31/2024,تولا,tola,ِِِِAlba pharma,منتج عناية بالشعر,alternative,,,,
1/31/2024,مياة اوه,Eau,معرفش,معرفش,unsure,,,,
1/31/2024,لينو,lino,lino oats,شوفان وسناكس,alternative,,,,
1/31/2024,أي أم دي,AMD,AMD,"شركه تصنع معالجات الكمبيوتر وكروت الشاشه
",unsure,,,,
1/31/2024,يوني كافيه,Uni Cafe,داماس للصناعات الغذائية,https://www.damas-food.net,alternative,,,,
1/31/2024,برايد,Pride,Pride,ماعرف ,unsure,,,,
1/31/2024,شركة انفينيتي,INFINTY,infinity clinic pharma,IT PROVIDES VARIETY OF HAIR AND SKIN CARE PRODUCTS ,alternative,,,,
1/31/2024,رو افريكان,RAW AFRICAN,RAW AFRICAN,"IT MAKES SKIN AND HAIR CARE PRODUCTS LIKE SHAMPOOS, CONDITIONER, LEAVE IN, BODY BUTTERS, LOTIONS AND MORE",alternative,,,,
1/31/2024,بوبانا,bobana,bobana,hair care and skin care,boycott,,,,
1/31/2024,مرسول,marsol,marsol,برنامج خدمت توصيل,unsure,,,,
1/31/2024,ادوبي ,Adobe,Adobe Inc,"https://www.crikey.com.au/2023/11/01/israel-gaza-adobe-artificial-intelligence-images-fake-news/
second :",boycott,,,,
1/31/2024,مرسيديس,Mercedes,Mercedes Benz ,شركه المانيه لدعم الكيان,boycott,,,,
1/31/2024,ماسيمو دوتي,Massimo Dutti,Inditex,مالك الشركة هو نفسه مالك شركة زارا وباقي الشرطات الداعمة,boycott,,,,
1/31/2024,تاكي,Taki,تاكي,الموقع الرسمي كطتوب,boycott,,,,
1/31/2024,فوربد,Forbed,Forbed,الموقع الرسمي,boycott,,,,
1/31/2024,بيك رولز,Bake rolz,Edita ,تعاون مع شركات أمريكية ,boycott,,,,
1/31/2024,حليب لبنيتا,labanita milk,labanita,منتج مصري محلي الصنع,alternative,,,,
1/31/2024,شيكا,Chicka ,Americana,.......,unsure,,,,
1/31/2024,أندومي,,أندومي,نوديلز ,unsure,,,,
1/31/2024,كوك دور,cook door ,الشركة الدولية للصناعات الغذائية ,"مطعم مصري تأسس سنة 1988 على يد عمرو السعيد (مدير مجلس الإدارة ؟) و أعلنت في صفحاتها على التواصل الاجتماعي عن التضامن مع أهلنا بفلسطين و بتقديم علم فلسطين و توفير صن توب كبديل (صن توب المدرج ضمن المقاطعة مع انه هناك اختلاف في ذلك)
",alternative,,,,
1/31/2024,بيتزا تايم,pizza time ,لم أتمكن من الوصول ,"من المطاعم المصرية التي أعلنت دعمها لألنا بفلسطين
صفحات التواصل الاجتماعي :
https://m.facebook.com/pizzatimeegypt
https://www.instagram.com/pizza_time_eg/",alternative,,,,
1/31/2024,شركة سانيتا,sanita,مجموعة إندفكو INDEVCO," تنتج الشركة منتجات النظافة الشخصية والمناديل المنزلية ، والمنتجات البلاستيكية (رئيس مجلس إدارتها هو كريم أفرام )
يقع المقر الرئيسي للشركة بمصر في مدينة السادات ، المنوفية 
الشركة مملوكة لمجموعة إندفكو التي مقرها بلبنان و رئيسها التنفيذي هو نعمة أفرام
https://twitter.com/neematfrem",unsure,,,,
1/31/2024,إيفا,Eva ,Eva cosmetics ,تعتبر شركة إيفا من الشركات المصرية التي تأتي في المقام الأول كبديل للعديد من المنتجات المختلفة التي تدخل ضمن المقاطعة,alternative,,,,
1/31/2024,كيلوجز نودلز ,Kellogg's noodles ,Kellogg ,شركة أمريكية  https://en.m.wikipedia.org/wiki/Kellogg%27s,boycott,,,,
1/31/2024,حمود بوعلام,selecto,hamoud boualem,"بديل كوكا كولا غير متاكد
",unsure,,,,
1/31/2024,ويندوز,Windows,Microsoft,نظام تشغيل مدفوع من صنع شركة أمريكية.,boycott,,,,
1/31/2024,أوفيس,Office,Microsoft,برنامج أو خدمة مدفوعة من صنع شركة أمريكية.,boycott,,,,
1/31/2024,لينكس,Linux,غير محددة,نظام تشغيل حُر ومجاني غير محتكر من قبل أي جهة.,alternative,,,,
1/31/2024,ليبر أوفيس,LibreOffice,The Document Foundation,تطبيق حُر وغير مدفوع لا يُدار مِن قِبل شركة احتكارية وإنما منظمة غير ربحية.,alternative,,,,
1/31/2024,نيتفليكس,Netflix,Netflix,Netflix تدعم اليهود و الشواذ,boycott,,,,
1/31/2024,بيكتيڤ,Pectiv,Lenizer ,شركة إماراتية وعربية,alternative,,,,
1/31/2024,بي بم,Bebem, شركة حياة,"تعتبر بي بم أحد منتجات شركة حياة وهي منتج محلي متواجد في السوق منذ أكثر من 20 عام، ومنتشر في أكثر من 20 دولة ويعتبر منتج لطيف على البشرة، وينال رضا كثير من المستهلكين.

",alternative,,,,
2/1/2024,واتس فيس انستا ماسنجر شركه  ميتا ع,WhatsApp face insta ,شركه ميتا,"لان فيس يحظر و يحكم كل ما ننشر وحظر ممكن بديل تلجرام telegram روسي مقره دبى  او  سجنال signal امركيى على ما اعتقد لكن على الاقل ليس بيدعم بشكل رسمى او لا نعرف بعد دعمه او من عدمه  او  Bip app  وهذا تطيبق تركى لكن تاكد من صحتهم هل يدعمون او لا 
",boycott,,,,
2/1/2024,مسواك,miswak,Dabur,معجون اسنان,alternative,,,,
2/1/2024,حلاوة زيادة,Zeyada Halawa,Zeyada Food,"حلاوة مصرية 100% ادعم منتج بلدك جربها هتعجبك إن شاء الله , اللهم انصر الإسلام و أعز المسلمين, اللهم انصر إخواننا المستضعفين في غزة و امنحهم التوفيق و التمكين و العزة.",alternative,,,,
2/1/2024,سوبيكو,supeco,كارفور,سلسلة محلات تجارية تابعة لكارفور,boycott,,,,
2/1/2024,صودا ستريم,SodaStream,SodaStream International Ltd ,"sodastream.com
SodaStream International Ltd. is an Israel-based manufacturing company best known as the maker of the consumer home carbonation product of the same name. The company's soda machines, in the style of",boycott,,,,
2/1/2024,ريـ /ماكس,RE/MAX,"RE/MAX, short for Real Estate Maximums, is an American international real estate company","RE/MAX Israel, a franchise of RE/MAX International, sells homes in Jewish-only settlements on illegally confiscated Palestinian land. Settlements have displaced thousands of Palestinian families and are in direct violation of international law. We call on RE/MAX International to establish and disseminate clear policies and guidelines for all Re/Max brokers and agents stating that they should not sell, rent, or publicize properties that are built on settlements in East Jerusalem and the West Bank. Further, members of the Re/Max network should not refer clients to brokers and agents who are involved with such illegal properties. ",boycott,,,,
2/1/2024,إندومي ,Indome,Indofood,"منتج من نوع نودلز 
وشركة اندوفود شركة إندونيسية
https://en.m.wikipedia.org/wiki/Indofood",alternative,,,,
2/1/2024,تيفا,teva,teva pharmaceuticals  ,شركة يهودية عالميه لصناعة الأدوية,boycott,,,,
2/1/2024,مينز كللب,Men's Club,Men's Club,منتج مصري لصناعه الملابس بجوده عاليه ,alternative,,,,
,سنابس,Snaps,Gree,,,,,,
2/28/2024,رابيت,rabbit,rabbit,شبة breadfast,alternative,,,,
2/28/2024,ديدي,didi,https://www.wikidata.org/wiki/Special:EntityPage/Q113152979,خدمات رقمية - مواصلات - شركة توفر خدمات التوصيل مثل اوبر,unsure,,,,
2/28/2024,حليب بخيره ,Bekhero milk ,جهينة,شركة جهينة مصرية 100%,boycott,,,,
2/28/2024,م,م,مم,ممممااااااااااااااااااااااااااااااااااااا,boycott,,,,
2/28/2024,شاي احمد ,ahmed tea,ahmed tea,"يعبأ في الامارات وله علاقه ببريطانيا
",boycott,,,,
2/28/2024,خير زمان  ,,مجموعه منصور,"



https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1",boycott,,,,
2/28/2024,مترو  ,metro,مجموعه منصور,https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1,boycott,,,,
2/28/2024,مياه حياه ,,مجموعه منصور,https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1,boycott,,,,
2/28/2024,صن شاين ,,مجموعه منصور,https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1,boycott,,,,
2/28/2024, جميع منتجات ايديتا /ارجو البحث عن المؤسسه المكتوبه في الاثبات ,All Edita products,edita,"سؤال : هل edita مصرية ؟
الاجابة : اه الشركة مصرية 100% و ش.م.م وكل حاجه بس 
  تعالى نبص على حملة الأسهم (الشركاء او المستثمرين) في الشركة هما مين والكلام الآتي ذكره ده بناءا على تقرير تدقيق مالي لمؤسسة ""Grant Thornton"" وهي مؤسسة عملاقة تقدر تبحث عنها فجوجل والتقرير 
فديسمبر 2022 يعني مش قديم
 Company are Quantum Investment BV 
holding
 42.67%
شركة اسثمارات مقرها في هولندا ودي ليها الحصة الأكبر وممثيلنها هما عائلة برزي مؤسسي edita 
 the Bank of New York Mellon (acting as depositary bank for shares traded in London Stock 
Exchange) managing 
11.7%
BNY بنك أمريكاني  
Kingsway Fund Frontier Consumer Franchises 
holding 
9.11%
شركة اسثمارات في لندن 
RIMCO E GT Investment LLC holding 
5.35%
شركة مصرية
وباقي الأسهم متوزعة بين اكتر من حد 
يعني ببساطة الشركة مصرية ده أكيد ، بس امريكا وبريطانياو هولندا واكلين منها معظمها
منتجات edita:
هوهوز
 توينكز
 تودو 
ميمكس 
مولتو
 بيك رولز 
 بيك ستيكس
 فريسكا 
  تايجر تيل
 فورني
 اونيرو لافا/بالأضافه ان هوهوز وتوينكز وكيكه تايجر تيل اتصنعوا بشراكه مع هوستس الامريكيه 
",boycott,,,,
2/28/2024,سبينس,spinneys,spinneys,"مالك الشركه صندوق انفستيك الاماراتي وتقدلروا تبحثوا وتتأكدوا
",boycott,,,,
2/28/2024,شان,Shaan,parkville,https://eparkville.com/collections/shaan,alternative,,,,
2/28/2024,فاين ,fine ,fine ,"انا على حد معرفتي انها اردنيه والاردن ساعدت اسرائيل بالطماطم بس عايزكوا تبحثوا اكتر 
",unsure,,,,
2/29/2024,ديلى ديف,DailyDev,Dailydev,https://x.com/zeyadetman/status/1744446410039181321?s=46,boycott,,,,
2/29/2024,ماكسي,MAXI,منتجات مياه مصر,مياه غازيه,alternative,,,,
2/29/2024,كيلوجز نودلز ,Kellogg's noodles ,Kellogg,شركة أمريكية ,boycott,,,,
2/29/2024,إندومي,Indome,Indofood ,شركة إندونيسية / نوعه: نودلز,alternative,,,,
2/29/2024,دولسي ,Dolce ,Nestle ,مكتوب على العبوة دليل نستلة الغذائي,boycott,,,,
2/29/2024,مولتو,Molto ,إديتا ,"التقرير الرسمي المالي لشركة ايديتا ٢٠٢٢ بيأكد ان النسبة الاكبر من اسهم شركة ايديتا بترجع لشركة كوانتم الهولندية بنسبة %٤٢% من اجمالي اسهم الشركة، مع العلم ان شركة كوانتم ليها فروع رئيسية في لندن ونيويورك

وخليني ازيدك من الشعر بيت ان التقرير موضح ان حوالي ۱۲٪ من اسهم شركة ايديتا من نصيب بنك امريكي و %٥.٥% من أسهم الشركة من نصيب شركة استثمارات في لندن

بالتالي الشركات دي بتدفع ضرايب لامريكا والضرايب دي بتتحول لدعم بصور مختلفة للي ما يتسموا زي ما كلنا شفنا",boycott,,,,
2/29/2024,فريسكا ,Freska ,إديتا ,"التقرير الرسمي المالي لشركة ايديتا ٢٠٢٢ بيأكد ان النسبة الاكبر من اسهم شركة ايديتا بترجع لشركة كوانتم الهولندية بنسبة %٤٢% من اجمالي اسهم الشركة، مع العلم ان شركة كوانتم ليها فروع رئيسية في لندن ونيويورك

وخليني ازيدك من الشعر بيت ان التقرير موضح ان حوالي ۱۲٪ من اسهم شركة ايديتا من نصيب بنك امريكي و %٥.٥% من أسهم الشركة من نصيب شركة استثمارات في لندن

بالتالي الشركات دي بتدفع ضرايب لامريكا والضرايب دي بتتحول لدعم بصور مختلفة للي ما يتسموا زي ما كلنا شفنا",boycott,,,,
3/1/2024,أبوورك,Upwork,Upwork,I wamt to make sure that Upwork.com doesn't support Israel at any cost,unsure,,,,
3/1/2024,فريلانسر,Freelancer,Freelancer.com,Freelancer.com gives opportunities to the creative people,unsure,,,,
3/1/2024,كيفك ,Kefk,الشركة المصرية للصناعات الغذائية كيفك ,كيفك قهوه وشاي وبن ونيسكافيه ,alternative,,,,
3/1/2024,كوكي,Koki,Amricana group,امريكانا جروب تدعم الاحتلال,boycott,,,,
3/2/2024,فيمتو,Vimto,Vimto,مشروب عصير التوت ,unsure,,,,
3/2/2024,نسكافيه ,Nescafe ,Nestle,H,alternative,,,,
3/2/2024,شاي احمد,Ahmad tea ,Ahmad tea,"على الرغم من انا مؤسس الشركة هو رجل اعمال ايراني الا أن شاي احمد يباع في السوق الإسرائيلي ويعد من أكبر شركات الشاي إذا لم يكن أكبرها
https://youtu.be/ZawkPQZAIZc?si=uF-8-l6SBdFgs-c0
في هذا الفيديو يظهر شاي احمد على صفحة لبيع المنتجات الغذائية في الكيان المحتل 
",boycott,,,,
3/2/2024,جي بي تي,GPT,OpenAI,"شركة OpenAI بتدعم Microsoft لأن Bing مبني علي نموذج GPT، وطبعاً Microsoft بتدعم الصهاينة، وبالتالي كل الmodels اللي مبنية علي GPT تبع  المقاطعة (زي Magic School وNotion AI وDALL-E)

https://en.globes.co.il/en/article-microsoft-grants-israeli-employees-special-war-allowance-1001462178

https://cnbc.com/2023/01/10/microsoft-to-invest-10-billion-in-chatgpt-creator-openai-report-says.html",boycott,,,,
3/3/2024,كلينيكس,Kleenex ,كمبرلي كلارك,داعم للاحتلال,boycott,,,,
3/3/2024,اندومي indomi,Indomie,Indofood,الشركة الأم في اندونيسيا,alternative,,,,
3/3/2024,سامسونج,Samsung,Samsung,تعد شركة سامسونج من أشهر شركات الجوال المنتشرة في جميع الدول العربية والأجنبية. كما تتم صناعة هواتف سامسونج في دولة كوريا الجنوبية، وهي من شركات الجوال الداعمة لإسرائيل، وذلك لأنها تابعة لشركة استثمارية إسرائيلية.,boycott,,,,
3/3/2024,نوكيا,Nokia,Nokia,صرح المدير العام للشركة مسبقاً عبر صحيفة جيروزاليم بوست الصهيونية، عن تركيز نوكيا على دعم إسرَائيل من كافة الجهات، عبر إنشاء مشروع داخلي يدعى (مشروع اسرَائيل) لتطوير شبكات الاتصال فيها منذ عام 2020، إلى جانب ذلك خصصت نوكيا صندوق دعم لاسرَائيل منذ عام 2000 حيث وصلت قيمة التبرعات حينها إلى 500 مليون دولار,boycott,,,,
3/3/2024,آبل,Apple,Apple,"تتمتع شركة ""آبل"" بحضور كبير في إسرائيل، أنشأت الشركة مراكز بحث وتطوير في إسرائيل، وتوظف آلاف المهندسين الإسرائيليين وتساهم في الاقتصاد المحلي، ويشير هذا الاستثمار إلى أن شركة ""آبل"" ترى قيمة في التقدم التكنولوجي الذي تقدمه إسرائيل.",boycott,,,,
3/3/2024,كيندر,kinder,؟؟,"شوكولاتت كيندر
شكرا علي دعمكم
",unsure,,,,
3/3/2024,نيفيا,nivea,nivea,شركة نيفيا هي شركة المانية وهي من ابرز داعمين اسراءيل,boycott,,,,
3/3/2024,كانون,Cannon,Cannon,طابعة - كاميرا ,unsure,,,,
3/3/2024,سيجنال,signal ,signal,",,,,,,",boycott,,,,
3/3/2024,قهوة بلاك ,BLK coffee,-,"  Local brand 
منتج محلي بديل للمقاطعة ",alternative,,,,
3/3/2024,بوك,Puck,شركة آرلا,ارجو ادراج هاد النوع لتأكيد اذا كان داعم او لا,unsure,,,,
3/4/2024,آبل,Apple,Apple,شركة أمريكية,unsure,,,,
3/4/2024,سامسونغ,Samsung,Samsung,شركة كورية,unsure,,,,
3/4/2024,بطاريات أنرجايزر,Anr,Anr,شركة أجنبية,unsure,,,,
3/4/2024,بانادول,panadol,GSK,المنتج رأيت الشركة مقالا لها كأنها تدعم،,unsure,,,,
3/4/2024,فيس بوك,Facebook,مارك زوكربيرغ,https://www.aljazeera.net/news/2018/3/26/%D9%81%D9%8A%D8%B3%D8%A8%D9%88%D9%83-%D9%81%D9%8A-%D8%AE%D8%AF%D9%85%D8%A9-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84,boycott,,,,
3/4/2024,تكسي اف,Taxi if,Taxi if,ارجو اضافة هذه الشركة ,unsure,,,,
3/4/2024,داري,Dari,داري كوسباط,علاقة تجارية بين “داري” المغربية و”تومر” الصهيونية,boycott,,,,
3/4/2024,مناديل زينه,Zeina ,Zeina group,مناديل,unsure,,,,
3/4/2024,كيلوجز نودلز,Keloggs ,Kellogg ,الشركة الأم الولايات الأمريكية ,boycott,,,,
3/4/2024,تيمو ,Temu,Temu,أرجو اضافة هذا التطبيق للقائمة,unsure,,,,
3/5/2024,تويست,Twist,لا اعلم ,هل هذا داعم ام بديل ,unsure,,,,
3/5/2024,غوغل,Google,Google,"قامت بإزالة فلسطين من تطبيق الخرائط الخاص بها
وهي بصدد تنفيذ مشروع نيمبيوس الذي يساهم في توسع المستوطنات وجمع المعلومات عن الفلسطينيين بشكل أوفر داخل نطاق الكيان بشكل خاص ومحصور.",boycott,,,,
3/5/2024,اوه,o,EAU,مياه شرب,alternative,,,,
3/6/2024,سبيرو سباتس,Spiro spats,Spats,لا يدعم الكيان الصهيوني,alternative,,,,
3/6/2024,لؤي ,تيته من خلال أدم من خلال ما سبق من مصادرها الخاصة بك في مركز ,أروي من قبل قوات الجيش والشرطة في مصر اليوم مصر النهارده اخبار الرياضه اليوم ,انتهتخت,unsure,,,,
3/6/2024,المهم غاعهننخعتههغعها,,لوواةؤةنعاة,اانانعات,boycott,,,,
3/6/2024,نيڤيا,Nivea,Nivea,ولا تعتبر ماركة نيفيا داعمة للقضية الفلسطينية. بل هي إحدى الشركات التي تدعم إسرائيل وحربها على غزة,boycott,,,,
3/6/2024,نيو ان بي,New NB,My Perfumes UAE,لا اعرف اي تفاصيل للاسف,unsure,,,,
3/7/2024,Listerine mouth wash,ليسترين ,جونسون اند جونسون,تابع لشركة جونسون اند جونسون ,boycott,,,,
3/7/2024,InstaShop,InstaShop,لا أعلم,هل برنامج InstaShop الشبيه لبرنامج طلبات مقاطعة؟,unsure,,,,
3/8/2024,بريزيدن,Président,Président,https://almunajemfoods.com/ar/brands/president/,boycott,,,,
3/8/2024,لاغون,LaGOON,Seville / iGLOO,"بسكويت جوز الهند مغطى بنكهة الشوكولاتة 
صنع بواسطة منتجات سيفيل المحدودة (ش.ذ.م.م)
العلامة التجارية على الغلاف : IGLOO
بلد المنشأ : الإمارات العربية المتحدة ",unsure,,,,
3/8/2024,نيو بالانس,New balance,لا أدري,موجود في موقع بدناش أنه مُقاطع,boycott,,,,
3/8/2024, دليس طبيعي,Délice Le Nature ,شركة دليس دانون,"https://delicedanone.com/yaourt/delice-nature/
https://www.google.com/amp/s/fr.timesofisrael.com/danone-met-35-m-de-dans-une-firme-israelienne-specialisee-dans-le-lait-de-culture/amp/",boycott,,,,
3/8/2024,دليس معطر,Délice Aromatisé  ,دليس دانون,https://www.google.com/amp/s/fr.timesofisrael.com/danone-met-35-m-de-dans-une-firme-israelienne-specialisee-dans-le-lait-de-culture/amp/,boycott,,,,
3/8/2024,دليس بتيت,P’tit Délice,دليس دانون,https://www.google.com/amp/s/fr.timesofisrael.com/danone-met-35-m-de-dans-une-firme-israelienne-specialisee-dans-le-lait-de-culture/amp/,boycott,,,,
3/8/2024,دليس بالغلال,Délice aux Fruits,دليس دانون,https://www.google.com/amp/s/fr.timesofisrael.com/danone-met-35-m-de-dans-une-firme-israelienne-specialisee-dans-le-lait-de-culture/amp/,boycott,,,,
3/9/2024,كينزا,Kinza,Al Jameel International Co. - Beverages Factory (Kinza),لا يوجد ادلة للدعم، واذا وجد اتمنى ان تتوفر هنا لانه من اكثر البدائل المستخدمة المميزة والممتازة,boycott,,,,
3/11/2024,إيفا سموكرز,Eva Smokers,Eva Cosmetics,معجون أسنان,alternative,,,,
3/11/2024,فلورو,Fluoro,Eva Cosmetics,معجون أسنان للأطفال,alternative,,,,
3/11/2024,دى جى كير,DG CARE,Al Esraa Pharmaceutical Optima,معجون أسنان,boycott,,,,
3/12/2024,نوت ثري.كوم ,myNot3.com ,Not3,منتج محلي مصري ناشئ يدعم القضية الفلسطينية بكل قوة.,alternative,,,,
3/12/2024,كوكي ,koki,Americana ,أسست الشركة في الكويت في عام 1964، وكانت مدرجة في سوق الكويت للأوراق المالية منذ عام 1984 حتى انسحابها منه في عام 2018. وكان أكبر المساهمين فيها شركة الخير الوطنية للاسهم والعقارات (المملوكة بالكامل لمجموعة الخرافي) بـ58.69 % وتم الاستحوذ على الشركة من قبل مجموعة أديبتيو القابضة المحدودة وتعود ملكيتها إلى صندوق الاستثمارات العامة السعودي والمستثمر الإماراتي محمد بن علي بن راشد العبّار.,boycott,,,,
3/12/2024,مولتو,Molto,ايديتا,غير متأكد لكن المقاطعه معها منتجات ايديتا مثل توينكز وغيره فهل صحيح ,boycott,,,,
3/12/2024,العلالي,Alali,السعودية ,هل خذي الماركة.داعمة؟,boycott,,,,
3/12/2024,إندومي,Indome ,Indofood ,منتج من شركة إندونيسية,alternative,,,,
3/12/2024,إندومي ,Indome ,Indofood ,شركة إندونيسية ,alternative,,,,
3/13/2024,آبل,iPhone,Apple,Please check if we should boycott it or not.,unsure,,,,
3/14/2024,راديون,Radeon ,AMD,AMD منافس INTEL و NVIDIA في مجال المعالجات الحاسوبية,unsure,,,,
3/14/2024,شوفانو,Chovano,أراشي فودز,ما أعرفه هو أن شركة  -أراشي فودز- شركة مصرية وأنا أشتريه بشكل كبير فكنت أريد معرفة إذا ما كان مقاطعة أم لا وشكراً جزيلاً لكم .,alternative,,,,
3/15/2024,أحمد تى - شاى أحمد,Ahmed Tea,Ahmed Tea,شاى أحمد ، شركة شاى كانت ايرانية وأصبحت إنجليزية,unsure,,,,
3/15/2024,اسبرين (دواء),Aspirin (medication),Bayer,نشرة مقاطعة من نقابة الصيادلة الاردنية,boycott,,,,
3/15/2024,بسومي للالكترونيات,BESOMI ELECTRONICS,-,"الشركة تتعامل مع Edge Group للمقاولات العسكرية و الصناعات الحربية
و شركة EDGE Group متعاونة مع الكيان في تطوير بعض المنظومات الحربية الدفاعية منذ 2021",boycott,,,,
3/15/2024,ديادرمين,Diadermine,Henkel,شركة فرنسية ,boycott,,,,
3/15/2024,أبل,Apple,Apple,American company,boycott,,,,
3/15/2024,سامسونج,Samsung,Samsung,I assume they support Israel,boycott,,,,
3/15/2024, دي جي كير,DG CARE,Al Esraa pharmaceutical optima,معجون اسنان,alternative,,,,
3/16/2024,سويتكوين,Sweatcoin • Walking step counter,Sweatco Ltd,"مبتدعمش ولا تعرف حاجة عن فلسطين أو غزة
https://sweatco.in/",boycott,,,,
3/17/2024,بياتو,Piatto,؟؟؟؟,مطعم إيطالي الهوية,unsure,,,,
3/17/2024,ماكسي,Maxi ,شركه المشروعبات الغازيه,بديل ,alternative,,,,
3/18/2024,مراد,Gddfhgf,بديل,"تلبب


نالر رة",alternative,,,,
3/18/2024,لبنيتا,Labanita,شركة منصور للأغذية,منتج بديل للزبادي و الألبان و الأجبان,alternative,,,,
3/18/2024,حليب بالهنا,Belhana,شركة منصور للتجارة و التوزيع,بديل للألبان الداعمة,alternative,,,,
3/19/2024,دانون ,Danone,Centrale,هي شركة فرنسية داعمة لإسرائيل ,boycott,,,,
3/20/2024,المسواك,meswak,dabur,معجون أسنان المسواك من شركة دابر ، شركة مصرية,alternative,,,,
3/21/2024,جبنة نادك,Nadec,شركة نادك,جبنة دهن,unsure,,,,
3/22/2024,مالبورو,Malboro,Fillip morris international ,شركة أمريكية...,boycott,,,,
3/22/2024,نيسلي ,Nestlé ,Nestlé ,شركة أمريكية ,boycott,,,,
3/22/2024,هيرشيز,Hersheys,HSY,شركة أمريكية ,boycott,,,,
3/22/2024,Asan,,Asan,بديل ,boycott,,,,
3/22/2024,Asan,,Naturz,هل هذا المنتج يدعم الكيان او لا,boycott,,,,
3/25/2024,كوكي,koki,koki,https://besraha.com/106283,boycott,,,,
3/28/2024,أديداس, Adidas,Adidas,"شركة اديداس اصدرت تصريح في بداية الحرب تدعم فيه اسرائيل في ألمانيا و حاليا تريد التبرع ب١٥٠ مليون لجمعية تدعم الصهيونية و اوقفت الشراكة مع المغني كاني ويست لدعمه فلسطين
المصدر:
https://www.google.com/amp/s/www.newarab.com/news/adidas-donate-150-million-pro-israel-adl%3famp",boycott,,,,
3/29/2024,رانج روفر,Range rover,Tatar motor,شركة بريطانية ,boycott,,,,
3/29/2024,اوه,o,EAU, مياه معدنيه,alternative,,,,
3/29/2024,دولتشي,Dolce,Edita,حلوى بطعم القهوة,unsure,,,,
3/30/2024,كيلوجز نودلز,kelloggs,كيلوجز,لا أعرف بالضبط ماحال هذه الشركه ولكن من خلال بحث بسيط تبين لي أنَّه على الأغلب أنَّ هذِه الشركه مقاطعه,unsure,,,,
3/30/2024,اجينوموتو,,اجينوموتو,اجينوموتو,unsure,,,,
3/30/2024,حمود بوعلام,Hamoud Boualem ,حمود بوعلام ,شركة جزائرية ,boycott,,,,
3/31/2024,سامسونغ,Samsung,Samsung,شركة مواد كهربائية وتكنولوجيا,unsure,,,,
3/31/2024,مواد غذائية,Alnaseam,Alnaseam ,شركة ليبية لإنتاج مشتقات الألبان (الحليب والزبادي ولبن العيران والأجبان والمثلجات ),alternative,,,,
3/31/2024,بن الفيومى,Alfayumi coffe,شركة بن الفيومى,منتج مصرى للقهوة,alternative,,,,
4/1/2024,لُ شا,Le chat,Henkel,"https://www.henkel.com/press-and-media/press-releases-and-kits/2021-01-07-henkel-invests-in-technology-start-up-feelit-1141594
تابع لشركة henkel التي لها فروع في إسرائيل ",boycott,,,,
